Starting scan across candidate upload endpoints...
URL: https://student.citexams.in/faculty/upload-student-data | STATUS: 404
URL: https://student.citexams.in/upload-student-data | STATUS: 404
URL: https://student.citexams.in/student/upload | STATUS: 404
URL: https://student.citexams.in/student-data/upload | STATUS: 404
URL: https://student.citexams.in/upload-student | STATUS: 404
URL: https://student.citexams.in/faculty/upload | STATUS: 404
URL: https://student.citexams.in/student-upload | STATUS: 404
URL: https://student.citexams.in/student/data/upload | STATUS: 404
URL: https://student.citexams.in/upload/student | STATUS: 404
URL: https://student.citexams.in/upload/student-data | STATUS: 404
URL: https://student.citexams.in/uploadstudent | STATUS: 404
URL: https://student.citexams.in/studentdataupload | STATUS: 404
URL: https://student.citexams.in/menu/85 | STATUS: 404
URL: https://student.citexams.in/admin/upload-student | STATUS: 404
URL: https://student.citexams.in/admin/upload-student-data | STATUS: 404
URL: https://student.citexams.in/faculty/student-upload | STATUS: 404
URL: https://student.citexams.in/faculty/upload-student | STATUS: 404
URL: https://student.citexams.in/student-data-file | STATUS: 404
URL: https://student.citexams.in/upload-student-data-file | STATUS: 404
URL: https://student.citexams.in/student/upload-data | STATUS: 404
URL: https://student.citexams.in/student/upload-excel | STATUS: 404
URL: https://des.citexams.in/faculty/upload-student-data | STATUS: 404
URL: https://des.citexams.in/upload-student-data | STATUS: 404
URL: https://des.citexams.in/student/upload | STATUS: 404
URL: https://des.citexams.in/student-data/upload | STATUS: 404
URL: https://des.citexams.in/upload-student | STATUS: 404
URL: https://des.citexams.in/faculty/upload | STATUS: 404
URL: https://des.citexams.in/student/upload-excel | STATUS: 404
URL: https://des.citexams.in/student-data/upload-excel | STATUS: 404
URL: https://des.citexams.in/menu/85 | STATUS: 404
URL: https://des.citexams.in/upload-student-data-file | STATUS: 404
URL: https://des.citexams.in/student-data-file | STATUS: 404
URL: https://des.citexams.in/admin/upload-student | STATUS: 404
URL: https://des.citexams.in/admin/upload-student-data | STATUS: 404
